review_id,error_related,sentiment,size,app_id,Total_error_related
2349,0,1,49,com.ptgs.realjaguarcubsimulator,0
2348,0,1,49,com.ptgs.realjaguarcubsimulator,0
2347,0,1,49,com.ptgs.realjaguarcubsimulator,0
2346,0,0,49,com.ptgs.realjaguarcubsimulator,0
2345,0,1,49,com.ptgs.realjaguarcubsimulator,0
2344,0,1,49,com.ptgs.realjaguarcubsimulator,0
2343,0,1,49,com.ptgs.realjaguarcubsimulator,0
2341,0,1,49,com.ptgs.realjaguarcubsimulator,0
2340,0,1,49,com.ptgs.realjaguarcubsimulator,0
2339,0,1,49,com.ptgs.realjaguarcubsimulator,0
2338,0,1,49,com.ptgs.realjaguarcubsimulator,0
2337,0,1,49,com.ptgs.realjaguarcubsimulator,0
2336,0,1,49,com.ptgs.realjaguarcubsimulator,0
2335,0,1,49,com.ptgs.realjaguarcubsimulator,0
2334,0,1,49,com.ptgs.realjaguarcubsimulator,0
2333,0,0,49,com.ptgs.realjaguarcubsimulator,0
2332,0,1,49,com.ptgs.realjaguarcubsimulator,0
2331,0,1,49,com.ptgs.realjaguarcubsimulator,0
2330,0,1,49,com.ptgs.realjaguarcubsimulator,0
2329,0,1,49,com.ptgs.realjaguarcubsimulator,0
2328,0,1,49,com.ptgs.realjaguarcubsimulator,0
2327,0,1,49,com.ptgs.realjaguarcubsimulator,0
2326,0,1,49,com.ptgs.realjaguarcubsimulator,0
2325,0,1,49,com.ptgs.realjaguarcubsimulator,0
2324,0,1,49,com.ptgs.realjaguarcubsimulator,0
2323,0,1,49,com.ptgs.realjaguarcubsimulator,0
2322,0,1,49,com.ptgs.realjaguarcubsimulator,0
2321,0,1,49,com.ptgs.realjaguarcubsimulator,0
2320,0,1,49,com.ptgs.realjaguarcubsimulator,0
2319,0,1,49,com.ptgs.realjaguarcubsimulator,0
2318,0,1,49,com.ptgs.realjaguarcubsimulator,0
2317,0,1,49,com.ptgs.realjaguarcubsimulator,0
2316,0,1,49,com.ptgs.realjaguarcubsimulator,0
2315,0,1,49,com.ptgs.realjaguarcubsimulator,0
2314,0,1,49,com.ptgs.realjaguarcubsimulator,0
2313,0,1,49,com.ptgs.realjaguarcubsimulator,0
2312,0,1,49,com.ptgs.realjaguarcubsimulator,0
3127,0,1,50,com.RansackedStudios.zombies,0
3126,0,0,50,com.RansackedStudios.zombies,0
3125,0,1,50,com.RansackedStudios.zombies,0
3124,0,0,50,com.RansackedStudios.zombies,0
3123,0,1,50,com.RansackedStudios.zombies,0
3122,0,1,50,com.RansackedStudios.zombies,0
3121,0,1,50,com.RansackedStudios.zombies,0
3120,0,1,50,com.RansackedStudios.zombies,0
3119,0,1,50,com.RansackedStudios.zombies,0
2921,0,1,50,com.gbs.Mountain.Army.Sniper.Shooter,0
2920,0,1,50,com.gbs.Mountain.Army.Sniper.Shooter,0
2919,0,1,50,com.gbs.Mountain.Army.Sniper.Shooter,0
2918,0,1,50,com.gbs.Mountain.Army.Sniper.Shooter,0
2917,0,0,50,com.gbs.Mountain.Army.Sniper.Shooter,0
2795,0,1,50,com.tecknisgames.naval.base.gunship.defense,0
2794,0,0,50,com.tecknisgames.naval.base.gunship.defense,0
2793,0,1,50,com.tecknisgames.naval.base.gunship.defense,0
2792,0,0,50,com.tecknisgames.naval.base.gunship.defense,0
2790,0,0,50,com.tecknisgames.naval.base.gunship.defense,0
1162,0,1,50,com.xgg.fc,0
1161,0,1,50,com.xgg.fc,0
1160,0,1,50,com.xgg.fc,0
1726,0,0,56,no.zeller.skatelines,0
1725,0,1,56,no.zeller.skatelines,0
1724,0,1,56,no.zeller.skatelines,0
1723,0,1,56,no.zeller.skatelines,0
1722,0,0,56,no.zeller.skatelines,0
1721,0,0,56,no.zeller.skatelines,0
1720,0,1,56,no.zeller.skatelines,0
1719,0,1,56,no.zeller.skatelines,0
1718,0,1,56,no.zeller.skatelines,0
1717,0,1,56,no.zeller.skatelines,0
1716,0,1,56,no.zeller.skatelines,0
1715,0,1,56,no.zeller.skatelines,0
1714,0,1,56,no.zeller.skatelines,0
1713,0,0,56,no.zeller.skatelines,0
1712,0,0,56,no.zeller.skatelines,0
1711,0,1,56,no.zeller.skatelines,0
1710,0,1,56,no.zeller.skatelines,0
1709,0,1,56,no.zeller.skatelines,0
1708,0,1,56,no.zeller.skatelines,0
1707,0,0,56,no.zeller.skatelines,0
1706,0,1,56,no.zeller.skatelines,0
1705,0,1,56,no.zeller.skatelines,0
1704,0,1,56,no.zeller.skatelines,0
1703,0,1,56,no.zeller.skatelines,0
1511,0,1,67,com.funplus.tf,5
1510,0,0,67,com.funplus.tf,5
1509,0,1,67,com.funplus.tf,5
1508,0,0,67,com.funplus.tf,5
1507,0,0,67,com.funplus.tf,5
1506,0,1,67,com.funplus.tf,5
1505,0,1,67,com.funplus.tf,5
1504,0,0,67,com.funplus.tf,5
1503,0,0,67,com.funplus.tf,5
1502,0,0,67,com.funplus.tf,5
1501,0,0,67,com.funplus.tf,5
1500,1,1,67,com.funplus.tf,5
1499,0,1,67,com.funplus.tf,5
1498,0,0,67,com.funplus.tf,5
1497,0,0,67,com.funplus.tf,5
1496,0,1,67,com.funplus.tf,5
1495,0,0,67,com.funplus.tf,5
1494,1,0,67,com.funplus.tf,5
1493,0,1,67,com.funplus.tf,5
